HR,condition,oscillation
1,BOSC,theta
0.773955773955774,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.944717444717445,BOSC,theta
1,BOSC,theta
0.874692874692875,BOSC,theta
0.497542997542998,BOSC,theta
0.906633906633907,BOSC,theta
1,BOSC,theta
0.992628992628993,BOSC,theta
1,BOSC,theta
0.922604422604423,BOSC,theta
0.702702702702703,BOSC,theta
0.936117936117936,BOSC,theta
0.917690417690418,BOSC,theta
0.857493857493858,BOSC,theta
0.93980343980344,BOSC,theta
0.975429975429975,BOSC,theta
0.756756756756757,BOSC,theta
0.987714987714988,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.963144963144963,BOSC,theta
0.626535626535627,BOSC,theta
0.985257985257985,BOSC,theta
1,BOSC,theta
0.965601965601966,BOSC,theta
1,BOSC,theta
0.828009828009828,BOSC,theta
0.757985257985258,BOSC,theta
0.947174447174447,BOSC,theta
0.835380835380835,BOSC,theta
0.520884520884521,BOSC,theta
0.912776412776413,BOSC,theta
1,BOSC,theta
0.738329238329238,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.954545454545455,BOSC,theta
0.699017199017199,BOSC,theta
1,BOSC,theta
0.891891891891892,BOSC,theta
0.749385749385749,BOSC,theta
0.925061425061425,BOSC,theta
0.812039312039312,BOSC,theta
0.740786240786241,BOSC,theta
0.839066339066339,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.843980343980344,BOSC,theta
0.781326781326781,BOSC,theta
0.863636363636364,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.764127764127764,BOSC,theta
1,BOSC,theta
0.912776412776413,BOSC,theta
0.65970515970516,BOSC,theta
0.922604422604423,BOSC,theta
0.963144963144963,BOSC,theta
0.610565110565111,BOSC,theta
0.974201474201474,BOSC,theta
0.969287469287469,BOSC,theta
0.937346437346437,BOSC,theta
0.98034398034398,BOSC,theta
0.909090909090909,BOSC,theta
0.771498771498772,BOSC,theta
0.92997542997543,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.356265356265356,BOSC,theta
0,BOSC,theta
0.386977886977887,BOSC,theta
0.918918918918919,BOSC,theta
0.78009828009828,BOSC,theta
0.931203931203931,BOSC,theta
0.975429975429975,BOSC,theta
0.843980343980344,BOSC,theta
0.992628992628993,BOSC,theta
0.923832923832924,BOSC,theta
0.843980343980344,BOSC,theta
0.954545454545455,BOSC,theta
0.765356265356265,BOSC,theta
0.621621621621622,BOSC,theta
0.773955773955774,BOSC,theta
1,BOSC,theta
0.99017199017199,BOSC,theta
1,BOSC,theta
0.961916461916462,BOSC,theta
0.601965601965602,BOSC,theta
0.975429975429975,BOSC,theta
0.545454545454545,BOSC,theta
0.256756756756757,BOSC,theta
0.578624078624079,BOSC,theta
0.94963144963145,BOSC,theta
0.63022113022113,BOSC,theta
1,BOSC,theta
0.78009828009828,BOSC,theta
0.488943488943489,BOSC,theta
0.813267813267813,BOSC,theta
0.73955773955774,BOSC,theta
0.249385749385749,BOSC,theta
0.847665847665848,BOSC,theta
0.914004914004914,BOSC,theta
0.80958230958231,BOSC,theta
0.952088452088452,BOSC,theta
1,BOSC,theta
0.960687960687961,BOSC,theta
1,BOSC,theta
0.971744471744472,BOSC,theta
0.624078624078624,BOSC,theta
0.981572481572482,BOSC,theta
0.982800982800983,BOSC,theta
0.94963144963145,BOSC,theta
0.992628992628993,BOSC,theta
0.864864864864865,BOSC,theta
0.412776412776413,BOSC,theta
0.874692874692875,BOSC,theta
0.895577395577396,BOSC,theta
0.703931203931204,BOSC,theta
0.944717444717445,BOSC,theta
0.969287469287469,BOSC,theta
0.918918918918919,BOSC,theta
0.986486486486487,BOSC,theta
0.680589680589681,BOSC,theta
0.558968058968059,BOSC,theta
0.702702702702703,BOSC,theta
1,BOSC,theta
0.696560196560197,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.984029484029484,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.987714987714988,BOSC,theta
0.883292383292383,BOSC,theta
0.992628992628993,BOSC,theta
0.958230958230958,BOSC,theta
0.902948402948403,BOSC,theta
0.971744471744472,BOSC,theta
0.86977886977887,BOSC,theta
0.691646191646192,BOSC,theta
0.959459459459459,BOSC,theta
0.995085995085995,BOSC,theta
0.954545454545455,BOSC,theta
1,BOSC,theta
